Time,PickupX,PickupY,DropoffX,DropoffY
14,935.212,1087.592,1259.129,926.135
15,1560.698,1011.562,907.423,1081.803
25,970.142,1245.195,1448.85,825.247
27,1442.33,1262.062,901.791,1097.993
46,1349.314,1013.652,1074.739,1334.803
56,1074.739,1334.803,1302.192,836.317
60,1224.873,1166.635,1440.809,1276.609
63,1117.055,1345.54,1404.534,1012.322
64,1006.99,863.754,1363.511,1015.551
80,1306.724,1007.954,949.107,901.364
100,1448.85,825.247,1400.808,1106.08
103,1361.485,861.713,1380.992,1345.114
105,949.107,901.364,1260.952,883.744
119,1316.952,835.069,1388.684,1221.312
121,1278.33,1004.156,1428.647,1392.983
123,1477.108,1175.013,1433.208,1349.342
127,947.949,869.328,969.37,1215.733
133,1249.936,1000.357,1517.249,1160.54
147,949.686,917.381,935.212,1087.592
149,1045.295,1326.036,1378.108,1391.54
163,1169.352,848.423,1304.002,1382.856
178,1404.534,1012.322,1544.009,1150.89
183,1171.423,998.434,1021.75,862.36
192,1030.573,1321.653,1216.967,1225.092
198,942.318,1157.817,1316.952,835.069
203,1319.345,1186.448,1131.16,1349.119
210,1490.912,1007.726,1171.423,998.434
220,1380.031,1360.59,1050.722,1119.112
228,1463.453,824.234,1127.568,992.789
232,1597.529,1131.592,1513.804,880.325
238,1187.126,998.819,890.529,1130.373
250,1381.954,1329.639,930.195,1287.715
257,1560.864,1287.712,935.212,1087.592
269,1402.476,1227.863,1257.913,954.396
271,1335.117,1011.753,876.09,1171.885
274,1470.852,1395.997,1633.864,1230.079
275,1460.676,1008.638,1224.873,1166.635
277,1036.51,860.966,866.464,1199.559
284,1496.274,1272.416,1006.99,863.754
285,1333.529,1188.329,1391.052,1165.091
286,1443.85,1247.515,968.984,1201.002
292,1108.772,1134.953,1079.747,1127.033
301,1166.822,1150.794,1565.302,1026.566
306,1263.812,1177.261,1216.967,1225.092
311,1224.873,1166.635,1390.266,1195.855
313,1220.951,1181.007,1428.647,1392.983
317,1361.358,846.519,971.686,1304.119
327,1570.769,1141.241,1443.85,1247.515
332,1418.209,1011.246,1320.92,1009.853
335,925.877,1004.73,1503.232,851.267
336,1437.769,1305.702,1583.718,1086.581
348,1278.33,1004.156,1434.728,1334.796
350,1607.911,1159.731,1074.739,1334.803
353,1361.232,831.325,1257.913,954.396
358,1065.234,1123.073,1361.612,876.907
359,935.212,1087.592,1539.453,1341.331
