Time,PickupX,PickupY,DropoffX,DropoffY
5,935.212,1087.592,1259.129,926.135
5,1560.698,1011.562,907.423,1081.803
10,970.142,1245.195,1448.85,825.247
19,1442.33,1262.062,901.791,1097.993
20,1349.314,1013.652,1074.739,1334.803
20,1074.739,1334.803,1302.192,836.317
25,1224.873,1166.635,1440.809,1276.609
25,1117.055,1345.54,1404.534,1012.322
28,1006.99,863.754,1363.511,1015.551
29,1306.724,1007.954,949.107,901.364
32,1448.85,825.247,1400.808,1106.08
32,1361.485,861.713,1380.992,1345.114
34,949.107,901.364,1260.952,883.744
45,1316.952,835.069,1388.684,1221.312
47,1278.33,1004.156,1428.647,1392.983
51,1477.108,1175.013,1433.208,1349.342
61,947.949,869.328,969.37,1215.733
65,1249.936,1000.357,1517.249,1160.54
66,949.686,917.381,935.212,1087.592
70,1045.295,1326.036,1378.108,1391.54
70,1169.352,848.423,1304.002,1382.856
72,1404.534,1012.322,1544.009,1150.89
74,1171.423,998.434,1021.75,862.36
81,1030.573,1321.653,1216.967,1225.092
81,942.318,1157.817,1316.952,835.069
82,1319.345,1186.448,1131.16,1349.119
86,1490.912,1007.726,1171.423,998.434
94,1380.031,1360.59,1050.722,1119.112
95,1463.453,824.234,1127.568,992.789
96,1597.529,1131.592,1513.804,880.325
96,1187.126,998.819,890.529,1130.373
101,1381.954,1329.639,930.195,1287.715
102,1560.864,1287.712,935.212,1087.592
104,1402.476,1227.863,1257.913,954.396
104,1335.117,1011.753,876.09,1171.885
106,1470.852,1395.997,1633.864,1230.079
106,1460.676,1008.638,1224.873,1166.635
110,1036.51,860.966,866.464,1199.559
110,1496.274,1272.416,1006.99,863.754
111,1333.529,1188.329,1391.052,1165.091
112,1443.85,1247.515,968.984,1201.002
114,1108.772,1134.953,1079.747,1127.033
120,1166.822,1150.794,1565.302,1026.566
122,1263.812,1177.261,1216.967,1225.092
122,1224.873,1166.635,1390.266,1195.855
123,1220.951,1181.007,1428.647,1392.983
125,1361.358,846.519,971.686,1304.119
126,1570.769,1141.241,1443.85,1247.515
127,1418.209,1011.246,1320.92,1009.853
130,925.877,1004.73,1503.232,851.267
132,1437.769,1305.702,1583.718,1086.581
133,1278.33,1004.156,1434.728,1334.796
134,1607.911,1159.731,1074.739,1334.803
135,1361.232,831.325,1257.913,954.396
135,1065.234,1123.073,1361.612,876.907
136,935.212,1087.592,1539.453,1341.331
137,945.44,931.083,1391.445,1149.71
140,1503.232,851.267,1557.389,1146.066
144,969.37,1215.733,1249.936,1000.357
144,1234.992,1316.277,971.686,1304.119
145,1592.925,1116.588,1071.844,1304.987
149,1385.8,1267.738,949.686,917.381
149,916.364,1282.247,1316.952,835.069
151,1633.864,1230.079,890.529,1130.373
155,1411.801,1392.502,968.212,1171.54
155,1154.592,849.817,1565.302,1026.566
156,1259.736,912.005,1304.092,880.814
158,925.877,1004.73,1079.747,1127.033
159,1394.954,1392.021,1258.926,854.622
159,949.686,917.381,1063.16,1215.54
161,856.838,1227.234,1439.289,1291.155
162,1348.466,1388.066,1063.16,1215.54
163,930.195,1287.715,1050.722,1119.112
163,1390.266,1195.855,1347.713,1190.211
165,1378.108,1391.54,1228.546,1271.119
165,1243.153,841.455,1333.645,1386.33
166,1348.466,1388.066,1513.804,880.325
166,1292.527,1006.055,1463.453,824.234
167,1333.529,1188.329,901.791,1097.993
167,1236.265,1301.803,1506.03,1007.27
169,1633.864,1230.079,1332.852,878.86
169,1274.36,1379.382,1496.274,1272.416
170,1381.954,1329.639,896.16,1114.183
170,903.476,1137.234,1051.27,859.573
172,1538.621,1001.687,1201.686,1367.014
175,1050.722,1119.112,1318.824,1384.593
176,1216.967,1225.092,1363.511,1015.551
179,1394.954,1392.021,1419.644,827.273
180,1402.476,1227.863,1377.185,1014.475
180,880.903,1158.047,1213.108,1209.75
181,1419.213,1188.908,1259.539,1377.645
181,1569.906,1041.57,1276.792,1180.803
182,1320.92,1009.853,992.23,865.147
183,916.423,1144.095,1068.949,1275.171
184,1331.712,833.821,1276.792,1180.803
187,876.09,1171.885,1346.472,832.573
191,1258.926,854.622,1050.722,1119.112
192,971.686,1304.119,1290.976,1182.684
192,1213.632,844.242,1131.16,1349.119
193,1470.062,1259.966,1404.534,1012.322
193,1074.739,1334.803,1363.511,1015.551
193,1404.534,1012.322,957.856,1298.651
194,874.873,1265.844,1492.659,822.208
195,1304.092,880.814,847.212,1254.908
196,1533.289,1370.674,1290.976,1182.684
196,1522.486,1284.867,1201.686,1367.014
196,1545.616,1311.989,1112.949,990.908
197,1215.792,1370.593,1602.72,1145.662
198,1292.527,1006.055,992.23,865.147
198,935.212,1087.592,1419.644,827.273
199,1430.167,1378.436,914.804,1050.974
199,1390.266,1195.855,1430.167,1378.436
201,861.651,1213.396,1439.289,1291.155
203,1304.002,1382.856,1244.718,1375.908
204,1456.956,1253.741,1497.945,836.738
205,1503.232,851.267,929.37,1150.956
205,1418.209,1011.246,968.212,1171.54
207,1434.728,1334.796,1274.36,1379.382
210,902.534,1276.78,1066.055,1245.356
211,1070.397,1290.079,1231.171,1359.698
211,1361.232,831.325,1597.529,1131.592
212,1349.314,1013.652,1289.181,1381.119
213,1477.108,1175.013,1152.31,1146.834
215,1621.698,1239.684,1463.453,824.234
216,1361.232,831.325,885.716,1144.21
216,936.949,958.487,1545.521,967.5
217,1290.976,1182.684,1392.231,1118.946
218,1436.248,1320.249,1477.108,1175.013
219,1522.486,1284.867,1181.335,1154.754
221,1388.684,1221.312,888.703,1271.312
223,1228.546,1271.119,1534.949,938.442
224,1173.476,1359.856,1442.33,1262.062
225,1633.864,1230.079,1258.926,854.622
226,935.212,1087.592,885.716,1144.21
227,1508.518,865.796,1210.36,1162.675
227,1529.663,923.913,866.464,1199.559
228,1095.551,855.392,1347.232,877.883
229,1021.844,1111.232,1289.181,1381.119
229,1382.915,1314.164,1456.956,1253.741
230,1001.13,1312.886,1390.86,1013.399
232,1259.939,869.183,1304.092,880.814
232,970.528,1259.926,1527.126,1400.017
234,1361.485,861.713,1430.059,1240.964
234,1257.913,840.061,1171.423,998.434
234,1244.718,1375.908,1448.85,825.247
235,1195.848,1158.715,1391.052,1165.091
236,1544.009,1150.89,1440.809,1276.609
236,1584.149,1136.417,1066.031,858.179
239,1430.059,1240.964,1278.33,1004.156
239,1187.581,1363.435,949.686,917.381
240,871.277,1185.722,1492.659,822.208
241,1187.126,998.819,861.651,1213.396
241,1258.521,940.265,1522.486,1284.867
242,936.949,958.487,1597.364,1258.895
243,1434.247,826.26,1431.688,1363.889
246,1503.232,851.267,1517.249,1160.54
246,1318.472,879.837,861.042,1260.376
247,933.258,973.901,1079.747,1127.033
248,1378.108,1391.54,1166.822,1150.794
248,1497.945,836.738,1497.945,836.738
250,1287.433,837.565,1419.213,1188.908
251,1050.722,1119.112,1383.877,1298.688
252,1574.51,1056.574,1613.101,1173.801
253,1051.27,859.573,964.09,1095.472
254,1440.809,1276.609,1056.941,1167.326
254,1007.406,1107.292,1527.126,1400.017
254,1131.16,1349.119,1478.056,823.221
255,1187.581,1363.435,1229.897,1374.172
256,964.09,1095.472,1333.645,1386.33
256,981.021,967.822,1390.266,1195.855
257,1233.718,1330.75,1290.976,1182.684
260,1287.433,837.565,1231.171,1359.698
260,1067.502,1260.263,1250.832,1173.719
261,1244.718,1375.908,1007.406,1107.292
261,1198.872,845.636,925.877,1004.73
261,1570.769,1141.241,1361.485,861.713
263,1229.897,1374.172,969.756,1230.464
265,1379.069,1376.065,1349.314,1013.652
266,1623.483,1201.94,1166.822,1150.794
270,1275.332,882.767,929.567,989.316
270,1173.476,1359.856,1517.249,1160.54
270,1187.581,1363.435,935.212,1087.592
271,1050.722,1119.112,1187.581,1363.435
271,1439.289,1291.155,1332.852,878.86
272,1260.952,883.744,1588.321,1101.585
273,1139.832,851.211,1305.16,1184.566
274,1545.616,1311.989,1236.265,1301.803
276,1361.897,1192.092,1519.09,894.854
277,1259.129,926.135,1274.36,1379.382
278,1137.797,1142.874,907.423,1081.803
278,1409.385,1093.215,1633.864,1230.079
279,1545.616,1311.989,1257.913,840.061
279,901.791,1097.993,1217.029,1195.378
280,1442.715,1393.987,966.331,964.71
280,1361.612,876.907,1542.534,1326.66
280,1051.27,859.573,1272.673,838.813
281,1068.949,1275.171,964.09,1095.472
281,1443.85,1247.515,1252.595,985.037
283,947.949,869.328,1361.358,846.519
285,1259.736,912.005,930.195,1287.715
285,1348.466,1388.066,1530.208,1385.345
287,1264.133,1002.256,890.529,1130.373
287,1434.728,1334.796,1252.595,985.037
289,1305.16,1184.566,1224.873,1166.635
289,1607.911,1159.731,1585.198,1268.501
289,1320.92,1009.853,1544.009,1150.89
290,1234.992,1316.277,1069.094,985.263
290,1287.433,837.565,1389.475,1208.584
290,1021.75,862.36,1127.568,992.789
290,1213.108,1209.75,1249.936,1000.357
292,1556.094,996.559,1098.331,989.026
294,1272.673,838.813,1391.445,1149.71
294,1361.612,876.907,1418.209,1011.246
295,1202.828,999.203,1490.488,1170.189
295,1579.114,1071.577,1527.126,1400.017
295,1529.663,923.913,1067.502,1260.263
296,1066.031,858.179,1074.739,1334.803
296,1506.03,1007.27,890.529,1130.373
297,1274.36,1379.382,1517.249,1160.54
297,1463.453,824.234,986.408,1308.502
297,1229.897,1374.172,1527.126,1400.017
297,911.113,1066.388,1250.832,1173.719
298,1436.248,1320.249,1215.792,1370.593
298,935.212,1087.592,1445.558,1009.094
298,1063.16,1215.54,1332.852,878.86
300,1597.364,1258.895,1548.698,1297.317
300,1069.094,985.263,1318.824,1384.593
302,1409.385,1093.215,1202.828,999.203
303,1218.531,999.588,1233.718,1330.75
304,1348.466,1388.066,1540.235,952.971
305,1496.274,1272.416,1021.844,1111.232
307,1289.181,1381.119,911.113,1066.388
308,1557.389,1146.066,1145.265,1352.698
311,1407.445,1060.858,1361.612,876.907
311,1361.358,846.519,1437.769,1305.702
312,1171.423,998.434,1431.688,1363.889
316,1259.129,926.135,1276.792,1180.803
317,1477.108,1175.013,1388.684,1221.312
317,941.195,944.785,1258.521,940.265
317,1231.171,1359.698,852.025,1241.071
317,1463.453,824.234,1229.897,1374.172
318,1544.009,1150.89,1513.058,1399.012
319,1391.838,1134.328,1063.16,1215.54
320,1228.393,842.849,947.949,869.328
321,1522.486,1284.867,1232.406,1286.461
321,1098.331,989.026,1236.265,1301.803
322,1361.485,861.713,1260.952,883.744
322,1585.198,1268.501,1490.488,1170.189
322,1202.828,999.203,1428.647,1392.983
323,1548.698,1297.317,1389.475,1208.584
324,1065.234,1123.073,1492.659,822.208
324,1574.51,1056.574,1217.029,1195.378
324,1382.915,1314.164,916.423,1144.095
325,1391.838,1134.328,861.651,1213.396
325,1228.393,842.849,1548.698,1297.317
325,1249.936,1000.357,949.686,917.381
327,1068.949,1275.171,986.408,1308.502
328,1402.476,1227.863,971.3,1289.388
330,1509.38,1278.641,966.331,964.71
331,1152.31,1146.834,1445.558,1009.094
331,1405.505,1028.501,1319.345,1186.448
332,1416.267,1234.414,1363.511,1015.551
333,935.212,1087.592,1391.445,1149.71
333,1169.352,848.423,1154.592,849.817
333,1585.198,1268.501,1060.017,1330.42
333,1540.235,952.971,1088.844,1338.382
334,1470.062,1259.966,1613.101,1173.801
334,914.804,1050.974,941.195,944.785
336,1448.161,1181.961,1050.722,1119.112
337,949.686,917.381,1094.26,1130.993
338,1348.466,1388.066,907.423,1081.803
338,1618.292,1187.87,1213.108,1209.75
340,1428.647,1392.983,1517.249,1160.54
340,1131.16,1349.119,861.651,1213.396
341,1152.31,1146.834,1430.167,1378.436
342,1306.724,1007.954,1050.722,1119.112
342,1257.913,954.396,1544.009,1150.89
343,1434.247,826.26,1278.33,1004.156
343,971.3,1289.388,1347.713,1190.211
344,1389.475,1208.584,1506.03,1007.27
344,901.791,1097.993,1428.647,1392.983
345,1490.912,1007.726,1477.108,1175.013
346,1534.949,938.442,1513.058,1399.012
346,1521.148,1006.815,1443.85,1247.515
346,1333.645,1386.33,1363.287,1389.803
346,1083.712,987.144,1443.85,1247.515
347,916.423,1144.095,986.408,1308.502
349,1316.952,835.069,1198.872,845.636
349,1305.16,1184.566,1142.186,994.671
349,1318.824,1384.593,1623.483,1201.94
349,1229.897,1374.172,1382.915,1314.164
352,1433.687,1185.434,1524.377,909.384
353,1318.472,879.837,1039.785,980.269
354,949.107,901.364,1259.129,926.135
354,1187.581,1363.435,1556.094,996.559
354,1198.872,845.636,1229.897,1374.172
354,1533.289,1370.674,847.212,1254.908
355,1400.808,1106.08,1154.592,849.817
355,1588.321,1101.585,1259.539,1377.645
357,995.712,970.934,970.528,1259.926
358,1533.289,1370.674,1539.453,1341.331
358,1408.415,1077.036,1431.688,1363.889
358,1231.171,1359.698,1437.769,1305.702
359,1348.466,1388.066,1430.167,1378.436
360,1237.853,1170.177,1112.949,990.908
360,1407.445,1060.858,1051.27,859.573
361,1304.092,880.814,1538.621,1001.687
362,1187.581,1363.435,1607.911,1159.731
362,1063.16,1215.54,1378.108,1391.54
363,968.598,1186.271,1548.698,1297.317
364,1387.723,1236.787,1618.292,1187.87
364,1260.952,883.744,1569.906,1041.57
364,1392.231,1118.946,1361.485,861.713
365,1007.406,1107.292,1380.992,1345.114
365,1316.952,835.069,1540.235,952.971
367,1390.438,829.299,1137.797,1142.874
368,1509.38,1278.641,1061.087,1199.468
370,1574.51,1056.574,1259.939,869.183
370,1260.952,883.744,1252.595,985.037
371,929.567,989.316,969.37,1215.733
371,1252.595,985.037,1258.926,854.622
371,1333.529,1188.329,1456.784,1394.992
372,1166.822,1150.794,1159.371,1356.277
373,1588.321,1101.585,1069.094,985.263
374,1036.283,1115.172,1228.546,1271.119
374,1442.33,1262.062,1258.521,940.265
374,1440.809,1276.609,1361.612,876.907
375,1583.718,1086.581,1419.213,1188.908
376,1418.209,1011.246,1276.792,1180.803
378,971.686,1304.119,1484.921,1397.002
379,847.212,1254.908,977.469,866.541
379,1319.345,1186.448,1224.873,1166.635
380,1390.659,1180.473,1530.629,1155.715
380,1095.551,855.392,1171.423,998.434
381,1139.832,851.211,1074.739,1334.803
381,1409.385,1093.215,1404.534,1012.322
382,918.495,1035.559,876.09,1171.885
382,1257.913,954.396,1402.476,1227.863
383,1051.27,859.573,1556.094,996.559
